label,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
2.3,3.3558006262800424,3.4581218647458223,3.5773565190919765,3.7727866922311457,3.904375820088733,3.9042009811041516,3.8439817397931235,3.982606039809017,3.9701036699035854,3.9175483746274913,3.957955407753479,3.9023748332069594,3.926808128860751,3.871720701633804,3.8059626389367525
2.1,3.062462746610089,3.255515386569845,3.418020247287066,3.637669050945894,3.7846359014107356,3.820106227404169,3.887156547075239,4.140870249027827,4.199355798006679,4.230405986928118,4.313227553137797,4.282900832836087,4.26314452439188,4.165934522643928,4.076504216861503
2.8,1.0436096120566012,1.1901223434989583,1.3191651711911405,1.553875038981182,1.7727722325982094,2.0230829064633116,2.282415460609897,2.6733444447574484,2.989719352248475,3.2392228740459044,3.53995729279695,3.6813384404480307,3.834341924020913,3.9146178237698255,4.021436990522162
4.5,0.37531256936105134,0.4147049649638477,0.4799527752708075,0.5884742698936265,0.689364655329776,0.822209866480469,0.9277846195814331,1.1209136075760506,1.2709496740006547,1.442775808509089,1.699404914328088,1.9421974603544332,2.2359446726789454,2.5152926884607925,2.8432501848949827
1.5,3.1977753104555986,3.33622072169785,3.453144261080138,3.6589461383523885,3.792652120797467,3.8501261869116368,3.9277884885948637,4.120244416009792,4.149449181979192,4.159689988497333,4.199436346411896,4.151260189503503,4.112819775635865,3.9977628659366586,3.9098718427700248
6.2,0.321896760470915,0.3902855517074303,0.3864568715660867,0.4559980306855757,0.5038100257320824,0.6030848648793579,0.6966760195597804,0.8643919541433392,0.9859063015315621,1.1538120044932492,1.3727778444221899,1.5245566130785724,1.6916652840144557,1.860183945810356,2.0629804342898863
4.2,1.291403272743419,1.4892093383010045,1.6369141809867696,1.8337121779548293,2.0677232590663994,2.3427327406899185,2.482113546665285,2.749020342869132,2.895497277700048,2.992464409676877,3.155948085248332,3.1873714994619577,3.2593503268256447,3.2462545280140986,3.263778244148765
6.1,0.8171744572842011,0.9904182674902127,1.1411627230557737,1.2900045330184395,1.4592454280347074,1.647758220423106,1.7634833194643635,2.0159489902179275,2.18186119313026,2.3598047519617857,2.589166519332635,2.735147514808262,2.900561468892486,2.966704079257868,3.0486530372583815
1.0,2.3402073747142764,2.595774207329168,2.7910120435770405,3.035909256110375,3.1944827235433513,3.2975664935484685,3.3964471042666804,3.68797184839029,3.8663511166733144,3.9511895208699537,4.06364562517354,4.059376583403335,4.067905543636525,3.991652950816086,3.9256211375784607
4.7,0.6351027085509304,0.7788938794434013,0.8976666927932999,1.0954425915488732,1.2526263492423246,1.3735552132807458,1.5279410162174978,1.7674933192005424,1.9998565620229012,2.207368674850519,2.472550020636149,2.6098937698280755,2.7904309060996084,2.9197304785868488,3.0307179691493933
1.4,3.553030846103765,3.584923734442864,3.6802818732260514,3.8564370205057177,3.9604459875941576,3.9325235263136684,3.867593523909248,4.0012275734122,3.9701454524350956,3.893215468670314,3.932893769612731,3.8858342206595626,3.9070372277413914,3.8495598843324945,3.787273333221288
3.9,1.2558544038155663,1.4269949642413415,1.6064122087626618,1.866676572635891,2.075918819185303,2.2917725511905704,2.5192999580993733,2.9472316740503204,3.2629690002273444,3.424172455769153,3.6258147374622487,3.6946952190267526,3.8400340403002433,3.883988254513864,3.9472200251244534
1.9,2.205014822774008,2.466279555529829,2.7433217658956544,3.147089206340533,3.420170345837784,3.5576065214786396,3.6472480416877966,3.8973543322218234,4.028264333631148,4.116284040248078,4.301548184769996,4.332352666666979,4.392628474760897,4.358343972631111,4.31742840648689
2.6,2.2012868540012915,2.4177136191318263,2.6530585561822595,2.995507641293608,3.2996875165907165,3.4960088849370123,3.569721383962285,3.8160808819490324,3.883704326237481,3.893948844553655,3.9910607144841697,3.9853412783644444,4.060029308236033,4.047645274185376,4.0227518138348675
2.2,2.3191655408516345,2.5413216000140078,2.785110550101835,3.1267998329641724,3.415638297930088,3.587671859410991,3.6386672398258657,3.8694966847283867,3.9354140628865557,3.9403035855085786,4.026559566570139,4.025202442153453,4.099318802709895,4.077740531950941,4.036477386969888
4.6,1.561251546052968,1.7824160972938863,1.9387373759963231,2.149880720772049,2.404548406866888,2.6696258844810634,2.771122856195389,3.000945287823699,3.101846666047523,3.1473119197580233,3.2750872471888886,3.2722458242074843,3.3143453546584762,3.276349319991044,3.263439364909757
4.2,3.2962926582487992,3.4943641994574235,3.691711743000939,3.9134264854223413,4.058941139696524,4.107830560635061,4.104500036792853,4.295283886497293,4.352032986572395,4.373332628459447,4.443740231161046,4.37830876507569,4.396399437028919,4.329943338936419,4.268925875923455
1.6,1.1774819826430032,1.3420553540606337,1.5137987178560937,1.823079699836877,2.0994452169045332,2.3516048046258238,2.5856630645749807,2.9578538197453477,3.220928421975949,3.417076793540345,3.710106110041293,3.822869848999857,3.9706541732694203,4.037140337026826,4.097488899076024
1.0,1.9368056165728926,2.2058537715345734,2.4569107743583762,2.765554411357654,2.9585136634143074,3.0581784061249437,3.152310417452859,3.445549773066647,3.6829475739328217,3.8415010421511013,4.003177294737351,4.021843609358311,4.067433772313987,4.0188548701005145,3.974054254155983
3.7,0.3325724072870742,0.40601284783554353,0.45235234279581815,0.5600991466376033,0.6602593218536201,0.7872183685285047,0.8835169182639049,1.056381737455814,1.1483646217345327,1.2100674104914846,1.3939527129918658,1.5627660286885243,1.8333701197046992,2.1027450595254518,2.4420698297323855
5.5,0.21349237969836302,0.2580005753114151,0.3167557715586908,0.38836012828361266,0.45778830636999296,0.5802490876141562,0.7005640603100658,0.8331056900758729,0.8806940795531707,0.8921877995619164,1.0402360596517324,1.09305650964574,1.1796983778169245,1.2804931667258954,1.434546680382227
26.0,0.3275486596430301,0.35882365779687314,0.35531122964183715,0.4228880347444878,0.46688789208309284,0.5286099069758506,0.5933842081471213,0.6952716662216258,0.7757237800342571,0.8960762882453877,1.0864438005421162,1.2168871391829876,1.3677740075966722,1.5203405384026267,1.6790407384549912
25.5,0.21285630413830572,0.23298809755918984,0.2857665366851833,0.3575105247789136,0.422672866694103,0.5286583941424361,0.6180478269061829,0.7379716338253784,0.81901006712828,0.8255112323168023,0.9715497406518205,0.9879765743787446,1.0510832823933733,1.1263629956922854,1.2392770964348079
29.9,0.2515751282862302,0.25482566793028066,0.3027209877847167,0.3733233353898842,0.4266539767905765,0.4805352717702167,0.5499223945618672,0.6932899450266362,0.794252953479247,0.768676192590844,0.9221709582848723,0.955271907628238,0.9809615259655973,1.0229612043193268,1.0734907860131022
1.3,2.6209684664943644,2.777924447947955,3.148394823042024,3.3828021292225676,3.493577341155592,3.667784425219104,3.675049609022058,3.7475136947175143,3.75522984430136,3.7985285892532823,3.8382364204707486,3.820827290746358,3.770922920111608,3.717485673587515,3.620992426663636
1.7,1.4429253971386764,1.6000819076386814,1.8720048688934332,2.1302690475088943,2.3617804351054437,2.700833858725317,2.8683782562286964,3.0521766669816137,3.2005688744541865,3.3462787485783907,3.4445295826995928,3.537956262812151,3.5504754931121134,3.551914675948457,3.5640020989023453
1.9,1.4095902959760425,1.5648606440428068,1.8288853880792466,2.078890651626314,2.3022104032641453,2.631455779542706,2.793054021712467,2.9759497206800267,3.1223364047504245,3.2651551256026727,3.3610459553580374,3.453725719192027,3.4635342379212926,3.4693386948948075,3.4859773656091937
7.7,0.36857358774054755,0.42064250257095914,0.53037772929741,0.638540784865469,0.8203979973477336,0.9799695153951814,1.0794273313316576,1.2251196481596225,1.372254015091972,1.5569027886262177,1.777600922675013,2.024132157235492,2.193049912824414,2.4070989082708403,2.6526176533448087
5.8,0.8739841716106839,0.933610920896729,1.0795338670328445,1.1654381877846085,1.2363129801064705,1.389270394145346,1.5297169378232491,1.7245983947697436,1.940265877294493,2.22239844923875,2.538471517340851,2.825900955092456,2.945459820579785,3.024156212217533,3.0432920674161013
5.0,0.8734533817602793,0.9814452997453911,1.1730715879994014,1.327053139941868,1.4998820582583123,1.764977007819052,2.014329696746902,2.323736253493714,2.5953893445348775,2.8910117244449713,3.0885487062108177,3.288683327262558,3.4331436288795114,3.5538791473784768,3.580032102043142
6.5,1.1675322644684867,1.246527153270639,1.4359439220264711,1.5645191444744637,1.7004120455357006,1.9081452484386596,2.1194907197817354,2.354454148220035,2.575327380351603,2.796344415502156,2.9603010574313373,3.0569269577020926,3.1012874050820507,3.14176233339318,3.1325866415748655
1.1,1.3138140348302625,1.4785029036776616,1.75260082945482,2.007996536286953,2.2650453932377053,2.629031052685803,2.8300072210672984,3.038775777111091,3.1895933591684797,3.3681068082676475,3.514821946034701,3.657122001479407,3.7031641993268427,3.7230204996176153,3.7576505942635525
3.8,0.7105362123103749,0.8108713391308372,0.9851171932511247,1.110641174703881,1.2469316737618577,1.4715900730225455,1.6818184631074211,1.9505847582400466,2.2346431636168957,2.588359524839978,2.8517250492167316,3.0968380889381235,3.27806775649414,3.4327503634834784,3.5018881309568117
4.0,1.4556594724897425,1.5936432619916252,1.8158715158325716,1.9545407301851392,2.0850089601672934,2.249723669069513,2.2790938912746794,2.3071659349058082,2.3294899589424816,2.3881482548824144,2.446414157848341,2.50267714657009,2.5351350510980772,2.538936210329516,2.4869797021105953
10.9,0.3800239063261968,0.4279284203802441,0.5419863295885095,0.6300372755121386,0.7481904943592449,0.9145966345030945,1.0337690658728107,1.17610974433904,1.3122742033957664,1.4929166735057087,1.688989594520505,1.9004087742329376,2.032240340659674,2.1889985778148184,2.344916809579584
5.0,1.3519966554620697,1.4535388922220305,1.6655616164796059,1.8184874549002237,1.9860804386377418,2.2290267917447473,2.451052886685768,2.6784758315864163,2.8408811522472646,2.971777154124715,3.054499002385454,3.133062579575336,3.180191890916836,3.2072507791632914,3.1761135321977796
5.4,1.1049658141025747,1.1646169181285304,1.3328646119799845,1.4285461809595783,1.5395657011569062,1.7239000387783152,1.889048108438719,2.0828694938201995,2.279108069045947,2.494590328832378,2.724841487845347,2.899752516699126,2.9695860494123307,2.99163038145832,2.952687223487735
3.2,2.4280892510007113,2.555708139087584,2.761846989003187,2.8581718987139424,2.911816577670942,3.0215260990195096,3.0397242464943806,3.0920905196493935,3.0734433057111845,3.0670483772418944,3.074905563228295,3.096296566990364,3.081600088608401,3.058013426087633,3.001203424762045
